Gene	RNA_log2FC	RNA_Pval	RNA_FDR	Prot_log2FC	Prot_Pval	Prot_FDR	Meta_PVal	Meta_FDR
ADRM1	0.363941859420682	0.00109160558444018	0.0161852670427614	0.238372166318559	0.0189623363548357	0.0605871712151569	0.000243950874134166	0.00117675980085893
ADSL	0.252873276623076	0.0487719062593419	0.226992463887554	0.154546033101834	0.224702364109275	0.36888395867357	0.0604242250816206	0.107702721805789
ADSS	0.280944998340074	0.0159319556308416	0.106774163020282	0.932855874175613	2.01002306410029e-07	3.65845387859603e-05	6.58385408925191e-08	1.3975726634912e-06
ADSSL1	1.23103462670864	2.74152801209475e-09	2.93974566006356e-06	1.39715361174977	8.78482610171496e-07	8.12724195492152e-05	8.3474178646985e-14	3.28273190973827e-11
AEBP1	-0.168133631611013	0.482812817040938	0.828366966317563	0.0499718483759651	0.791588487384296	0.872741781486248	0.749793736426768	0.801152409349466
AFAP1	0.0984865305129263	0.435459964730963	0.7930799780673	0.108601445471568	0.428881026884364	0.577045438893364	0.500131249501927	0.582992308311763
AFAP1L2	0.0227335676348019	0.923550104813413	0.979412103366344	0.0454116229244939	0.737327886499216	0.830721297396424	0.942619759636273	0.954499911099368
AFF4	-0.0725125295057492	0.456865461117125	0.811342350047136	-0.185363447040437	0.0726342135903677	0.163043480011472	0.146198552480596	0.222710618580023
AFG3L2	0.356568823238824	0.000331284921607544	0.0067506578217282	0.0917163603926891	0.50610979650465	0.643432958855636	0.00162528116294704	0.00564688315149163
AFM	0.32806584688379	0.345604849310005	0.717272888721942	0.334094200381573	0.197263904784629	0.335410310636482	0.251271995237519	0.339328456247017
AFMID	0.213483465559309	0.130676499419568	0.420794765426533	0.145723911919745	0.362192118016824	0.512113423691754	0.19171540321884	0.275586281810537
AFTPH	0.0259561135312607	0.747136010493233	0.979412103366344	-0.0277623990881035	0.715640070553222	0.813266193610781	0.869436414235164	0.89791691598689
AGAP1	0.440863393206985	0.00438054878741958	0.0434620971102442	-0.211881662127947	0.0671363564774988	0.153739762379721	0.00268555297129648	0.00847400836213145
AGAP2	-0.634506818904938	0.00135941441256982	0.0188342856887294	-0.356450970891206	0.0153505265542222	0.051996656499578	0.000245765604803403	0.0011832220354968
AGAP3	0.123277496912382	0.304185162231145	0.673161568186688	-0.169113817081036	0.0438969298229546	0.112007782731896	0.0709838590099783	0.122747372025586
AGER	-1.88013104752814	1.20746773660299e-05	0.000647996283348641	-1.62586965720998	0.00347568684564587	0.0174909977810626	7.5484823371358e-07	1.02923832158903e-05
AGFG1	0.527842631512859	1.54123461038334e-07	3.69584157710152e-05	0.251400180005126	0.0062933577556074	0.0271180678840944	2.11001661275647e-08	5.65091187473704e-07
AGFG2	-0.378002693588633	0.00891419716625155	0.0711533221000573	-0.277800118848017	0.00574473688720242	0.0255046219586934	0.000557140280612098	0.00234797077085933
